2020-04-15 01:34:06.337  INFO [clientui,,,] 12188 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:9101
2020-04-15 01:34:08.059  INFO [clientui,,,] 12188 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=clientui, profiles=[default], label=null, version=fc976e353d551a0a0ea7a51737bf5dfb54c16f2f, state=null
2020-04-15 01:34:08.062  INFO [clientui,,,] 12188 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/SebFlatBeat/bibliotheque-config-repo.git/clientui.properties'}]
2020-04-15 01:34:08.181  INFO [clientui,,,] 12188 --- [main] c.U.clientui.ClientuiApplicationTests    : No active profile set, falling back to default profiles: default
2020-04-15 01:34:11.246  WARN [clientui,,,] 12188 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-04-15 01:34:12.141  INFO [clientui,,,] 12188 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=f5bbb9d8-d3ef-3c9f-9c1b-e9a17ae8c81e
2020-04-15 01:34:15.733  WARN [clientui,,,] 12188 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-15 01:34:15.764  INFO [clientui,,,] 12188 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-15 01:34:15.938  INFO [clientui,,,] 12188 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@679d0be8
2020-04-15 01:34:18.239  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/chosen/**'], []
2020-04-15 01:34:18.241  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/css/**'], []
2020-04-15 01:34:18.242  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/cssLogin/**'], []
2020-04-15 01:34:18.242  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/fonts/**'], []
2020-04-15 01:34:18.244  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/fontsLogin/**'], []
2020-04-15 01:34:18.244  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/iconsLogin/**'], []
2020-04-15 01:34:18.247  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/img/**'], []
2020-04-15 01:34:18.248  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/scripts/**'], []
2020-04-15 01:34:18.249  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/images/**'], []
2020-04-15 01:34:18.249  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/js/**'], []
2020-04-15 01:34:18.251  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/jsLogin/**'], []
2020-04-15 01:34:18.252  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/vendorLogin/**'], []
2020-04-15 01:34:18.252  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/META-INF.resources/**'], []
2020-04-15 01:34:18.252  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/ext/*/api/**'], []
2020-04-15 01:34:18.253  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**', OPTIONS], []
2020-04-15 01:34:18.253  INFO [clientui,,,] 12188 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/app/**/*.{js,html}'], []
