2020-04-15 01:29:34.860  INFO [zuul-server,,,] 13356 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:9101
2020-04-15 01:29:35.974  INFO [zuul-server,,,] 13356 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=zuul-server, profiles=[default], label=null, version=fc976e353d551a0a0ea7a51737bf5dfb54c16f2f, state=null
2020-04-15 01:29:35.978  INFO [zuul-server,,,] 13356 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/SebFlatBeat/bibliotheque-config-repo.git/zuul-server.properties'}]
2020-04-15 01:29:36.074  INFO [zuul-server,,,] 13356 --- [main] c.U.z.ZuulServerApplicationTests         : No active profile set, falling back to default profiles: default
2020-04-15 01:29:38.009  WARN [zuul-server,,,] 13356 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-04-15 01:29:38.149  WARN [zuul-server,,,] 13356 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-04-15 01:29:38.730  INFO [zuul-server,,,] 13356 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=7a359c9e-7a40-3eb8-974e-3b7cd86f3535
2020-04-15 01:29:41.007  WARN [zuul-server,,,] 13356 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-15 01:29:41.011  INFO [zuul-server,,,] 13356 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-15 01:29:41.036  WARN [zuul-server,,,] 13356 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-04-15 01:29:41.041  INFO [zuul-server,,,] 13356 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-15 01:29:42.845  INFO [zuul-server,,,] 13356 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-04-15 01:29:46.738  INFO [zuul-server,,,] 13356 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@21280cbb, org.springframework.security.web.context.SecurityContextPersistenceFilter@202f054f, org.springframework.security.web.header.HeaderWriterFilter@2bfa17b0, org.springframework.security.web.csrf.CsrfFilter@7433ca19, org.springframework.security.web.authentication.logout.LogoutFilter@438aaa9f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1a84a8b2, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@678586f0, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1cc708a7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@20dd5870, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1a0d313, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5dae5a70, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@995ad50, org.springframework.security.web.session.SessionManagementFilter@2a120c88, org.springframework.security.web.access.ExceptionTranslationFilter@da34eb0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@15e8c040]
